County,Doses Administered
Alameda,350830
Alpine,450
Amador,8031
Butte,50346
Calaveras,9462
Colusa,2762
Contra Costa,281761
Del Norte,3038
El Dorado,38138
Fresno,163091
Glenn,4611
Humboldt,26475
Imperial,23050
Inyo,3690
Kern,111451
Kings,11568
Lake,10879
Lassen,3608
Los Angeles,1889222
Madera,24269
Marin,73851
Mariposa,1597
Mendocino,23030
Merced,30201
Modoc,1841
Mono,7750
Monterey,60904
Napa,40908
Nevada,20963
Orange,644816
Placer,100036
Plumas,2480
Riverside,403689
Sacramento,263667
San Benito,7504
San Bernardino,322117
San Diego,749924
San Francisco,194293
San Joaquin,107676
San Luis Obispo,55919
San Mateo,187584
Santa Barbara,80504
Santa Clara,393609
Santa Cruz,71177
Shasta,25964
Sierra,922
Siskiyou,9070
Solano,82571
Sonoma,124313
Stanislaus,85617
Sutter,17150
Tehama,7721
Trinity,1647
Tulare,60000
Tuolumne,13248
Ventura,163933
Yolo,48433
Yuba,8420
