,County,Income per Capita,Population,Doses,Doses per Capita
0,"Allen, KS",43163,12369,200,0.016169455897809038
1,"Anderson, KS",42046,7858,100,0.012725884448969204
2,"Atchison, KS",40335,16073,300,0.018664841659926584
3,"Barber, KS",48489,4427,100,0.0225886604924328
4,"Barton, KS",49460,25779,500,0.019395632103650258
5,"Bourbon, KS",46149,14534,200,0.013760836658868859
6,"Brown, KS",47930,9564,200,0.020911752404851526
7,"Butler, KS",48216,66911,1000,0.014945225747634919
8,"Chase, KS",53882,2648,0,0.0
9,"Chautauqua, KS",43327,3250,0,0.0
10,"Cherokee, KS",42872,19939,300,0.015045889964391393
11,"Cheyenne, KS",54890,2657,0,0.0
12,"Clark, KS",64457,1994,0,0.0
13,"Clay, KS",46888,8002,100,0.012496875781054736
14,"Cloud, KS",41892,8786,100,0.011381743683132255
15,"Coffey, KS",55119,8179,200,0.024452867098667317
16,"Comanche, KS",46878,1700,0,0.0
17,"Cowley, KS",40042,34908,600,0.017188037126160193
18,"Crawford, KS",39788,38818,700,0.01803287134834355
19,"Decatur, KS",50635,2827,0,0.0
20,"Dickinson, KS",44101,18466,300,0.01624607386548251
21,"Doniphan, KS",44486,7600,200,0.02631578947368421
22,"Douglas, KS",45163,122259,2340,0.019139695237160456
23,"Edwards, KS",62707,2798,0,0.0
24,"Elk, KS",41529,2530,0,0.0
25,"Ellis, KS",47758,28553,500,0.017511294785136414
26,"Ellsworth, KS",48380,6102,100,0.01638806948541462
27,"Finney, KS",46823,36467,800,0.021937642251898978
28,"Ford, KS",41373,33619,700,0.02082155923733603
29,"Franklin, KS",44472,25544,400,0.015659254619480114
30,"Geary, KS",51410,31670,500,0.015787811809283233
31,"Gove, KS",66403,2636,0,0.0
32,"Graham, KS",56940,2482,0,0.0
33,"Grant, KS",54892,7150,100,0.013986013986013986
34,"Gray, KS",75961,5988,100,0.016700066800267203
35,"Greeley, KS",98916,1232,0,0.0
36,"Greenwood, KS",44689,5982,100,0.01671681711802073
37,"Hamilton, KS",69339,2539,0,0.0
38,"Harper, KS",54894,5436,100,0.01839587932303164
39,"Harvey, KS",44416,34429,600,0.017427168956403033
40,"Haskell, KS",77955,3968,100,0.025201612903225805
41,"Hodgeman, KS",65688,1794,100,0.055741360089186176
42,"Jackson, KS",43447,13171,0,0.0
43,"Jefferson, KS",46234,19043,200,0.010502546867615396
44,"Jewell, KS",57690,2879,300,0.10420284821118445
45,"Johnson, KS",76206,602401,0,0.0
46,"Kearny, KS",59187,3838,14040,3.658155289213132
47,"Kingman, KS",48512,7152,100,0.013982102908277404
48,"Kiowa, KS",47726,2475,100,0.04040404040404041
49,"Labette, KS",44760,19618,0,0.0
50,"Lane, KS",85007,1535,400,0.26058631921824105
51,"Leavenworth, KS",44075,81758,0,0.0
52,"Lincoln, KS",48445,2962,1200,0.4051316677920324
53,"Linn, KS",41013,9703,0,0.0
54,"Logan, KS",53800,2794,200,0.07158196134574088
55,"Lyon, KS",39962,33195,0,0.0
56,"McPherson, KS",56617,28542,600,0.021021652301870926
57,"Marion, KS",45681,11884,200,0.01682935038707506
58,"Marshall, KS",46580,9707,200,0.02060368806016277
59,"Meade, KS",66270,4033,500,0.12397718819737169
60,"Miami, KS",50210,34237,100,0.0029208166603382304
61,"Mitchell, KS",62780,5979,500,0.08362602441879913
62,"Montgomery, KS",39041,31829,100,0.0031417889346193723
63,"Morris, KS",46409,5620,600,0.10676156583629894
64,"Morton, KS",53296,2587,100,0.038654812524159254
65,"Nemaha, KS",53211,10231,0,0.0
66,"Neosho, KS",41324,16007,200,0.01249453364153183
