County,Doses Administered
Adams,1873
Allen,9947
Ashland,3823
Ashtabula,8866
Athens,6062
Auglaize,3750
Belmont,4537
Brown,3226
Butler,33512
Carroll,2527
Champaign,3442
Clark,15816
Clermont,17686
Clinton,3589
Columbiana,10368
Coshocton,3556
Crawford,4655
Cuyahoga,116275
Darke,3600
Defiance,3157
Delaware,23553
Erie,8056
Fairfield,14235
Fayette,2332
Franklin,125744
Fulton,3481
Gallia,3150
Geauga,9517
Greene,17340
Guernsey,3615
Hamilton,83619
Hancock,6815
Hardin,2165
Harrison,1450
Henry,2789
Highland,2840
Hocking,2829
Holmes,2286
Huron,4754
Jackson,2973
Jefferson,5246
Knox,5305
Lake,22353
Lawrence,4183
Licking,16556
Logan,3313
Lorain,29793
Lucas,43545
Madison,3974
Mahoning,27789
Marion,5978
Medina,17024
Meigs,2199
Mercer,3438
Miami,9523
Monroe,1316
Montgomery,53261
Morgan,1556
Morrow,3143
Muskingum,9661
Noble,1505
Ottawa,4027
Paulding,1465
Perry,3237
Pickaway,4846
Pike,2522
Portage,13387
Preble,3388
Putnam,3907
Richland,10662
Ross,5424
Sandusky,5798
Scioto,8807
Seneca,4763
Shelby,3702
Stark,36886
Summit,50780
Trumbull,19847
Tuscarawas,8334
Union,5555
Vinton,1099
Warren,23048
Washington,7060
Wayne,7767
Williams,3041
Wood,13194
Wyandot,2199
